Question,Logical Formula,Sparql Query
1. What does IYCM stand for ?,(and fb:phrase.Youth_Climate_Movement fb:phrase.Stand_By),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Youth_Climate_Movement = dbr:Stand_By) . FILTER (?x1 = dbr:Youth_Climate_Movement) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
1. What does IYCM stand for ?,(and fb:phrase.Youth_Climate_Movement fb:phrase.Stand_on_It),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Youth_Climate_Movement = dbr:Stand_on_It) . FILTER (?x1 = dbr:Youth_Climate_Movement) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
1. What does IYCM stand for ?,(and fb:phrase.Youth_Climate_Movement fb:phrase.Stand),SELECT DISTINCT ?x1 ?x1name WHERE { FILTER (dbr:Youth_Climate_Movement = dbr:Stand!) . FILTER (?x1 = dbr:Youth_Climate_Movement) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
2. Which movies star both Liz Taylor and Richard Burton ?,(fb:phrase.prop.picture (and (fb:phrase.prop.principal fb:phrase.Liz_The_Elizabeth_Taylor_Story) fb:phrase.Richard_Burton)),SELECT DISTINCT ?x3 WHERE { ?x1 dbo:principal dbr:Liz:_The_Elizabeth_Taylor_Story . FILTER (?x1 = dbr:Richard_Burton) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:picture ?x1 }
2. Which movies star both Liz Taylor and Richard Burton ?,(fb:phrase.prop.picture (and (fb:phrase.prop.principal fb:phrase.Liz_The_Elizabeth_Taylor_Story) fb:phrase.Richard_Burtons_Hamlet)),SELECT DISTINCT ?x3 WHERE { ?x1 dbo:principal dbr:Liz:_The_Elizabeth_Taylor_Story . FILTER (?x1 = dbr:Richard_Burton's_Hamlet) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:picture ?x1 }
2. Which movies star both Liz Taylor and Richard Burton ?,(fb:phrase.prop.picture (and (fb:phrase.prop.principal fb:phrase.Liz_The_Elizabeth_Taylor_Story) fb:phrase.Hilarie_Burton)),SELECT DISTINCT ?x3 WHERE { ?x1 dbo:principal dbr:Liz:_The_Elizabeth_Taylor_Story . FILTER (?x1 = dbr:Hilarie_Burton) . ?x1 fb:type.object.type ?x2 . ?x3 dbo:picture ?x1 }
3. Give me English actors starring in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Lovesick_Blues))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Lovesick_Blues . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
3. Give me English actors starring in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Torasans_Lovesick))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Tora-san's_Lovesick . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
3. Give me English actors starring in Lovesick .,(and fb:phrase.English (fb:phrase.prop.artist (fb:phrase.prop.starring fb:phrase.Scrotal_Recall))),SELECT DISTINCT ?x2 ?x2name WHERE { ?x1 dbo:starring dbr:Scrotal_Recall . dbr:English dbo:artist ?x1 . FILTER (?x2 = dbr:English) . ?x2 fb:type.object.type ?x3 . OPTIONAL { ?x2 fb:type.object.name ?x2name } }
4. In which country is the Limerick Lake ?,(and (fb:rdf.type.prop fb:nounphrase.Country) fb:phrase.Limerick_Lake),SELECT DISTINCT ?x1 ?x1name WHERE { ?x1 rdf:type dbo:country . FILTER (?x1 = dbr:Limerick_Lake) . ?x1 fb:type.object.type ?x2 . OPTIONAL { ?x1 fb:type.object.name ?x1name } }
